Strain,Rating,Description,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Flavor_1,Flavor_2,Flavor_3,Type,pr_words
3Rd-Coast-Panama-Chunk,4.7,"3rd coast panama chunk by bedford grow is a cross between east coast panama chunk (panama f7 x deep chunk) and sour diesel. this vigorous strain creates dense, resinous buds that reek of pine and fuel. panama chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. the strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain. ",Energetic,Happy,Talkative,Uplifted,,Pine,Diesel,,0,coast panama chunk bedford grow cross east coast panama chunk panama x deep chunk sour diesel vigorous strain creates dense resinous buds reek pine fuel panama chunk potent versatile hybrid provides immediate mood elevation stress relief making ideal long day strain varied cerebral physical effects help consumers abate anxiety insomnia also tending migraines muscular pain
501St-Og,4.5,"501st og, bred by rare dankness, is an indica-dominant hybrid that crosses skywalker og with rare dankness #1. the colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. the potent indica effects make 501st og a great nighttime strain to help with pain relief and trouble sleeping.",Relaxed,Euphoric,Sleepy,Happy,Talkative,Earthy,Pine,Skunk,0,og bred rare dankness hybrid crosses skywalker og rare dankness colorful flowers tinged wide spectrum green blue red purple hues give deep piney kush aroma mixes sweetness grape flavors potent indica effects make og great nighttime strain help pain relief trouble sleeping
5Th-Element,4.4,"elemental seeds crossed blackberry with all spark og to create this impressive strain. 5th element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. the effects are quite strong with a good mix of cerebral and body highs.",Relaxed,Focused,Euphoric,Uplifted,Aroused,Earthy,Woody,Pine,2,elemental seeds crossed blackberry spark og create impressive strain element produces huge yields sticky buds feature powerful earthy lemony smell flavor effects quite strong good mix cerebral body highs
707-Headband,4.3,"this strain emerged from the humboldt county, california and that area’s telephone area code is the source of its numerical moniker. it’s a cross between sour diesel, og kush and master kush. 707 headband plants flower in 9 to 11 weeks and usually have large yields. an indica dominant hybrid, this strain is known to have high thc levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. because of this, it’s often used to treat tension and anxiety.",Euphoric,Happy,Uplifted,Talkative,Creative,Earthy,Woody,Pungent,0,strain emerged humboldt county california area telephone area code source numerical moniker cross sour diesel og kush master kush headband plants flower weeks usually large yields indica dominant hybrid strain known high thc levels strong balanced enough leave users feeling heady creative rather sleepy often used treat tension anxiety
8-Ball-Kush,4.3,"bred by barney’s farm, 8 ball kush is a pure indica variety descended from an afghani landrace strain. like many other cannabis varieties that come from the hindu kush region, 8 ball kush produces large amounts of crystal resin that blanket the buds. its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. a hardy and resilient plant, 8 ball kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of september.",Relaxed,Uplifted,Happy,Creative,Euphoric,Citrus,Earthy,Pine,2,bred barney farm ball kush pure indica variety descended afghani landrace strain like many cannabis varieties come hindu kush region ball kush produces large amounts crystal resin blanket buds aroma earthy spicy may find effects cerebrally stimulating average indica hardy resilient plant ball kush day flowering time indoors outdoor gardens finish end september
818-Og,4.7,"named after the telephone area code of the san fernando valley in los angeles, 818 og is an og kush strain popular with patients for treating pain, loss of appetite, and insomnia. not to be confused with the other og cut named for the locale, the 818 og has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the sfv og. ",Relaxed,Happy,Euphoric,Giggly,Sleepy,Earthy,Diesel,Flowery,2,named telephone area code san fernando valley los angeles og og kush strain popular patients treating pain loss appetite insomnia confused og cut named locale og fruity flavor quite different sour earthy fuel taste found sfv og
831-Og,5.0,"831 og, aka santa cruz og, is an indica-dominant strain developed by 831 organiks. created by crossing the rare and potent inferno f1 cut with the west coast mainstay, sfv og, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. the aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% thc.  ",None,,,,,None,,,2,og aka santa cruz og strain developed organiks created crossing rare potent inferno cut west coast mainstay sfv og combination heavyweight indicas imbues consumers deep relaxation borders sleepy especially continued consumption aroma pure fuel flavor opens notes pine earth lemon enjoy strain near end day beware strain known reach toward thc
9-Pound-Hammer,4.5,"9 pound hammer is an 80% indica strain that crosses gooberry, hells og, and jack the ripper. these dense buds are coated in resin, offering sweet grape and lime flavors. true to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. best grown indoors, 9 pound hammer will deliver a heavy yield, flowering between 50 and 60 days.",Relaxed,Sleepy,Euphoric,Happy,Hungry,Earthy,Sweet,Berry,2,pound hammer indica strain crosses gooberry hells og jack ripper dense buds coated resin offering sweet grape lime flavors true indica dominance effects heavy useful pain stress relief best grown indoors pound hammer deliver heavy yield flowering days
91-Krypt,4.7,"91 krypt by dna genetics is a potent strain by many names. bred from the chemdawg ‘91 stock crossed with dna’s famous captain krypt og, this strain was created for high potency cannabis consumers. it emits a deep, dank terpene profile that fills the room with skunk and swampy earth. with a thc content pushing over 20% on average, enjoy 91 krypt to stimulate appetite while harnessing full body relaxation.",Relaxed,Euphoric,Happy,Hungry,Uplifted,Earthy,Pungent,Berry,2,krypt dna genetics potent strain many names bred chemdawg stock crossed dna famous captain krypt og strain created high potency cannabis consumers emits deep dank terpene profile fills room skunk swampy earth thc content pushing average enjoy krypt stimulate appetite harnessing full body relaxation
A-10,3.8,"a-10 has an earthy, hashy taste that provides a very heavy body stone.  frequently used to treat insomnia and chronic pain.",Relaxed,Focused,Happy,Sleepy,Uplifted,Citrus,Pungent,Sweet,2,earthy hashy taste provides heavy body stone frequently used treat insomnia chronic pain
A-Dub,4.4,"coming from the ever-popular sour diesel, og kush, and chemdawg family tree, a-dub has a solid reputation for its potency. this hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. sour double (a sour diesel/sour bubble cross) and alien dawg (alien technology crossed with chemdawg) combine to birth this magnificent flower.",Relaxed,Happy,Euphoric,Uplifted,Sleepy,Diesel,Pepper,Earthy,0,coming sour diesel og kush chemdawg family tree solid reputation potency hybrid produces effect creating euphoric happy buzz great influence expressing creativity sour double sour bubble cross alien dawg alien technology crossed chemdawg combine birth magnificent flower
A-Train,4.1,a-train is a hybrid between mazar i sharif and the clone-only arcata e-32 trainwreck.  this hybrid gives you the classic stoned feeling.  be ready for smiles and munchies when you jump on the a-train.,Creative,Euphoric,Relaxed,Happy,Hungry,Earthy,Woody,Citrus,0,hybrid mazar sharif arcata trainwreck hybrid gives classic stoned feeling ready smiles munchies jump
Acdc,4.5,"acdc is a sativa-dominant phenotype of the high-cbd cannabis strain, cannatonic. one remarkable characteristic of acdc is its thc:cbd ratio of 1:20, meaning this strain induces no psychoactive effects. tests have put acdc’s cbd content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.",Relaxed,Happy,Uplifted,Focused,Euphoric,Earthy,Pine,Woody,0,acdc phenotype cannabis strain cannatonic one remarkable characteristic acdc thc cbd ratio meaning strain induces psychoactive effects tests put acdc cbd content high helps many patients treat pain anxiety epilepsy multiple sclerosis negative effects chemotherapy without intoxication
Ak-47,4.2,"don't let its intense name fool you: ak-47 will leave you relaxed and mellow. this sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. ak-47 mixes colombian, mexican, thai, and afghani varieties, bringing together a complex blend of flavors and effects. while ak-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. created in 1992 by serious seeds, ak-47 has won numerous cannabis cup awards around the world for its soaring thc content. for those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. ak-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of october.",Happy,Relaxed,Uplifted,Euphoric,Energetic,Earthy,Pungent,Woody,0,let intense name fool leave relaxed mellow hybrid delivers steady cerebral buzz keeps mentally alert engaged creative social activities mixes colombian mexican thai afghani varieties bringing together complex blend flavors effects scent sour earthy sweet floral notes fully realized taste created serious seeds numerous cannabis cup awards around world soaring thc content hoping fill gardens resinous skunky hybrid growers recommend indoor environment either soil hydroponic setups easy grow short indoor flowering time days outdoor plants typically finish toward end october
Ak-48,4.0,"although it is a hybrid, the ak-48 high leans more towards typical sativa effects.  ak-48's parents are ice and jock horror.  its ice mother has ancestors of afghani, skunk, northern lights and shiva stock.",Happy,Energetic,Uplifted,Creative,Relaxed,Earthy,Pungent,Citrus,0,although hybrid high leans towards typical sativa effects parents ice jock horror ice mother ancestors afghani skunk northern lights shiva stock
Aberdeen,4.3,"aberdeen is a variety of agent orange grown by canadian lp aphria. like agent orange, aberdeen combines the genetics of orange velvet and jack the ripper to create a mix of sweet orange and citrus flavors. the happy, uplifting effects of aberdeen mirror agent orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.",Uplifted,Euphoric,Giggly,Energetic,Sleepy,Menthol,Blue,"Cheese,Chemical",0,aberdeen variety agent orange grown canadian lp aphria like agent orange aberdeen combines genetics orange velvet jack ripper create mix sweet orange citrus flavors happy uplifting effects aberdeen mirror agent orange regularly prescribed anxiety migraines gastrointestinal disorder
Abusive-Og,4.5,"a popular californian cut of og kush, abusive og is an indica strain that inherited the nickname of its original grower. despite its violent name, abusive og will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. true to its og genetics, abusive og has an earthy spice aroma with subtle lemon undertones. patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. abusive og may not produce the highest yields in the garden, but makes up for it with resin-caked buds.",Relaxed,Euphoric,Sleepy,Happy,Giggly,Earthy,Pine,Diesel,2,popular californian cut og kush abusive og indica strain inherited nickname original grower despite violent name abusive og ease peaceful state mind fades time relaxation true og genetics abusive og earthy spice aroma subtle lemon undertones patients mind mental haziness might choose strain remedy pain anxiety appetite loss sleeplessness end day abusive og may produce highest yields garden makes buds
Acapulco-Gold,4.5,"one of the most well-known strains, acapulco gold has been likened to dinner at a five-star restaurant. the strain comes from the areas in and around acapulco, mexico. its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. an aroma of burnt toffee lingers when the bud is broken up. acapulco gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. ",Happy,Uplifted,Euphoric,Energetic,Relaxed,Earthy,Sweet,Pungent,1,one strains acapulco gold likened dinner restaurant strain comes areas around acapulco mexico orange hairs resemble gold nugget gold green brown colors resin collecting buds aroma burnt toffee lingers bud broken acapulco gold reputation one best cannabis strains ever created becoming difficult find due growers moving indoors
Ace-Killer-Og,4.8,"ace killer og is an indica strain that boasts a high thc content and a pungent diesel aroma. bred from white fire og, king’s kush, kosher kush, and a mystery strain, ace killer og inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.",Relaxed,Sleepy,Euphoric,Happy,Uplifted,Earthy,Diesel,Spicy/Herbal,2,ace killer og indica strain boasts high thc content pungent diesel aroma bred white fire og king kush kosher kush mystery strain ace killer og inherits heavy blanket resin effects stupefy even seasoned veteran
Ace-Of-Spades,4.1,"ace of spades is a creation from tga subcool seeds that takes advantage of the popular sweet and sour combination that never goes out of style. a crossbreed of black cherry soda and jack the ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. ace of spades plants grow fast and need a lot of space because they will get both bushy and tall. flowering occurs at 8 weeks and they are generally large and heavy. these buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.",Relaxed,Euphoric,Happy,Sleepy,Hungry,Earthy,Sweet,Woody,2,ace spades creation tga subcool seeds takes advantage popular sweet sour combination never goes style crossbreed black cherry soda jack ripper strain earthy berry citrus smell carries taste distinctly lemony flavors ace spades plants grow fast need lot space get bushy tall flowering occurs weeks generally large heavy buds pretty look range colors include purples blues pinks coated orange hairs
Aceh,4.4,"aceh, also called atjeh, refers to the sativa varieties of cannabis that come from the aceh region of indonesia. these sativas typically grow tall and thin, and are considered the finest among indonesia’s landrace varieties ",Creative,Euphoric,Talkative,Energetic,Happy,Earthy,Mango,Lemon,1,aceh also called atjeh refers sativa varieties cannabis come aceh region indonesia sativas typically grow tall thin considered finest among indonesia landrace varieties
Acid,4.4,"acid is paradise seeds’ take on the original new york sour diesel. expect powerful body effects, including an uplifted, nearly psychedelic mental energy. this plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks. ",Creative,Happy,Euphoric,Energetic,Uplifted,Lemon,Diesel,Earthy,0,acid paradise seeds take original new york sour diesel expect powerful body effects including uplifted nearly psychedelic mental energy plant exhibits metallic flavor representative namesake traditional notes gas nose acid thrives indoor outdoor environments finishing weeks
Acid-Dough,5.0,"acid dough by ripper seeds is a sativa-dominant strain with energetic effects. created by crossing lilly (queen mother x congo) x og badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. acid dough has an approximate 65-70 day flowering time and colorful foliage. this strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. acid dough won 2nd place best sativa at the 2017 spannabis champions cups and 2nd place at the 2016 expogrow cup. ",Talkative,Giggly,Happy,Hungry,Relaxed,None,,,1,acid dough ripper seeds strain energetic effects created crossing lilly queen mother x congo x og badazz strain offers sweet aromas bright pineapple flavors generous yield acid dough approximate day flowering time colorful foliage strain responds well cold temperatures finishing process creating buds deep violet hues extra resin production acid dough place best sativa spannabis champions cups place expogrow cup
Afcrack,3.4,"afcrack is a cannabis “speedball” of sorts. this strain incorporates afgoo and green crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. with spicy earth notes that indicate its afghani heritage, this hybrid’s effects are situation-specific and will offer energy or sedation depending on the consumer’s level of activity.    ",Tingly,Euphoric,Happy,Relaxed,Uplifted,Sweet,Flowery,Earthy,0,afcrack cannabis speedball sorts strain incorporates afgoo green crack polar opposites spectrum indica sativa varieties create experience rests muscles invigorating heart mind spicy earth notes indicate afghani heritage hybrid effects offer energy sedation depending consumer level activity
Afghan-Big-Bud,4.0,"spawn from afghani and big bud, afghan big bud (or big bud afghani) is characterized as a large plant with broad leaves and thick stems. it has a dense appearance, similar to big bud, and maintains the taste of afghani, resulting in the best of both worlds. the effects come relatively quick but usually dissipate under two hours. ",Euphoric,Happy,Relaxed,Sleepy,Talkative,Pungent,Lemon,Peach,2,spawn afghani big bud afghan big bud big bud afghani characterized large plant broad leaves thick stems dense appearance similar big bud maintains taste afghani resulting best worlds effects come relatively quick usually dissipate two hours
Afghan-Cow,4.3,"this sweet-smelling and resinous sativa breed from dr. krippling seeds is sure to keep you off the couch. afghan cow is bred from ash, kaya 47 (an ak-47 phenotype), and the beloved kali mist. the cerebral effects of this sativa are great for clear-headed daytime use. having a high yield both indoors and out, this is an impressive plant with even more impressive effects.",Focused,Uplifted,Happy,Euphoric,Talkative,Sweet,Vanilla,,1,resinous sativa breed krippling seeds sure keep couch afghan cow bred ash kaya phenotype beloved kali mist cerebral effects sativa great daytime use high yield indoors impressive plant even impressive effects
Afghan-Diesel,3.7,afghan diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. the taste has been described as light and sweet. this strain will have a more cerebral effect rather than body. the plant is characterized as having dark green leaves with purple colored buds. ,Euphoric,Relaxed,Uplifted,Happy,Creative,Earthy,Diesel,Chemical,0,afghan diesel hybrid strain aroma similar grapefruit citrus fruit taste described light sweet strain cerebral effect rather body plant characterized dark green leaves purple colored buds
Afghan-Hawaiian,4.1,"afghan hawaiian is an indica-dominant hybrid of uk cheese and lavender bred by canadian lp organigram, inc. the sweet mix of earthy, cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation. organigram classifies afghan hawaiian with their nds varieties and recommend it for neurological disorders and spasticity. ",Tingly,Sleepy,Relaxed,Energetic,Aroused,Nutty,Earthy,Chestnut,2,afghan hawaiian hybrid uk cheese lavender bred canadian lp organigram sweet mix earthy cheese flavors hints licorice caramel undertones produces rush euphoria levels deep relaxation organigram classifies afghan hawaiian nds varieties recommend neurological disorders spasticity
Afghan-Haze,4.3,"afghan haze is a sativa-dominant hybrid that combines a resinous afghani indica with a sweet-smelling haze sativa. created by former sensi breeder nevil schoenmaker and shantibaba of mr. nice seeds, afghan haze balances energizing cerebral invigoration with soothing full-body effects. its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. afghan haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for. ",Sleepy,Relaxed,Giggly,Happy,Creative,Earthy,Flowery,Tea,0,afghan haze hybrid combines resinous afghani indica haze sativa created former sensi breeder nevil schoenmaker shantibaba nice seeds afghan haze balances energizing cerebral invigoration soothing effects relief allows patients treat pain depression appetite loss day heavier doses help ease mind body peaceful sleep afghan haze may excruciatingly long indoor flowering time weeks large harvests potent buds worth waiting
Afghan-Kush,4.1,"afghan kush's roots trace back to the hindu kush mountain range near the afghanistan-pakistan border. there its genotype has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black afghani hash. white label seed company, a sensi seeds partner from the netherlands, made the seeds of this strain available for everyone to grow. the buds of afghan kush develop into massive, blunt-topped nuggets full of resin; pure indica goodness with a heavy yield. revered for its heavy resin content and powerfully sedating effects, afghan kush is a top choice for anyone looking to relax after a long day.",Relaxed,Sleepy,Happy,Hungry,Euphoric,Earthy,Flowery,Woody,2,afghan kush roots trace back hindu kush mountain range near border genotype perfected centuries making ultimate source hash charas sticky black afghani hash white label seed company sensi seeds partner netherlands made seeds strain available everyone grow buds afghan kush develop massive nuggets full resin pure indica goodness heavy yield revered heavy resin content powerfully sedating effects afghan kush top choice anyone looking relax long day
Afghan-Skunk,4.3,"this popular classic strain was originally developed in the united states to cross the pure indica genetics of an afghani strain with the durable genes of skunk plants. afghan skunk quickly spread to amsterdam and beyond and is now considered one of the “classics.” its resilient skunk genes make this plant a popular recommendation for new growers, and its legendary high yields make it a favorite all around. flowering happens around 8 weeks and the buds will have a menthol smell combined with the “sweet stink” skunks are known for. tests have shown thc levels of about 17%, so the stink isn’t the only thing that’s potent about afghan skunk.",Sleepy,Relaxed,Happy,Hungry,Giggly,Skunk,Woody,Sweet,2,popular classic strain originally developed united states cross pure indica genetics afghani strain durable genes skunk plants afghan skunk quickly spread amsterdam beyond considered one resilient skunk genes make plant popular recommendation new growers legendary high yields make favorite around flowering happens around weeks buds menthol smell combined sweet stink skunks known tests shown thc levels stink thing potent afghan skunk
Afghan-Sour-Kush,4.5,"afghan sour kush by mtg seeds is an indica-dominant cross between afghani and sour kush. its heavy, relaxing effects are ushered in by a sweet berry aroma and a sharp spicy flavor typical of kush varieties. stout and sturdy, afghan sour kush plants have tight internodal spacing and finish flowering in about 60 days.",Hungry,Relaxed,Aroused,Sleepy,Euphoric,Earthy,Diesel,Pungent,2,afghan sour kush mtg seeds cross afghani sour kush heavy relaxing effects ushered sweet berry aroma sharp spicy flavor typical kush varieties stout sturdy afghan sour kush plants tight internodal spacing finish flowering days
Afghan-Widow,4.5,"afghan widow is a strain with deep relaxing qualities that immediately envelop the body in a calming aura. this mid-level sedation is pleasant but not debilitating. however, with continued consumption, this strain may yield benefits for patients treating insomnia, nausea, physical discomfort, and some cancer treatment side effects. afghan widows lineage is a common sense cross of afghan kush and white widow.  ",Creative,Energetic,Euphoric,Focused,Uplifted,Flowery,Diesel,Sweet,0,afghan widow strain deep relaxing qualities immediately envelop body calming aura sedation pleasant debilitating however continued consumption strain may yield benefits patients treating insomnia nausea physical discomfort cancer treatment side effects afghan widows lineage common sense cross afghan kush white widow
Afghani,4.3,"afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. breeders worldwide have come to treasure afghani for its heavy resin production which is passed on genetically. with a sweet, earthy aroma, afghani delivers a deep, sedating relaxation and euphoria. patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders.",Relaxed,Sleepy,Happy,Euphoric,Hungry,Earthy,Sweet,Pine,2,afghani heavy indica strain named geographic origin earliest varieties cannabis believed grown breeders worldwide come treasure afghani heavy resin production passed genetically sweet earthy aroma afghani delivers deep sedating relaxation euphoria patients commonly turn potent indica treat insomnia pain stress disorders
Afgahni-Bullrider,4.4,"this strain has quite a few myths circulating about its original appearance. it blew up in san diego before spreading to the rest of the west coast. afghani bullrider is pretty to look at, with light green buds covered in orange hair, and has a strong sweet and sour smell with some piney freshness. this strain is a heavy hitter that delivers a strong body without the full sedative effects some indicas can have; it heads straight to the brain and may boost creative thoughts while providing physical relaxation. with its high levels of thc and cbd, afghani bullrider is recommended for chronic pain, insomnia, and anxiety.",Focused,Uplifted,Happy,Creative,Relaxed,Lemon,Citrus,Sweet,2,strain quite myths circulating original appearance blew san diego spreading rest west coast afghani bullrider pretty look light green buds covered orange hair strong sweet sour smell piney freshness strain heavy hitter delivers strong body without full sedative effects indicas heads straight brain may boost creative thoughts providing physical relaxation high levels thc cbd afghani bullrider recommended chronic pain insomnia anxiety
